[2026-03-24 02:20:40] size: 30 | approach: LGSH-v1 | time: 0.132s | notes: found factor 853172260176581
[2026-03-24 02:20:40] size: 30 | approach: LGSH-v1 | time: 0.141s | notes: found factor 973482052545047
[2026-03-24 02:20:40] size: 30 | approach: LGSH-v1 | time: 0.184s | notes: found factor 742943501885287
[2026-03-24 02:20:40] size: 30 | approach: LGSH-v1 | time: 0.146s | notes: found factor 955492613363501
[2026-03-24 02:20:40] size: 30 | approach: LGSH-v1 | time: 0.114s | notes: found factor 709910301438391
[2026-03-24 02:20:40] size: 31 | approach: LGSH-v1 | time: 0.136s | notes: found factor 512509817654951
[2026-03-24 02:20:41] size: 31 | approach: LGSH-v1 | time: 0.150s | notes: found factor 834077816631193
[2026-03-24 02:20:41] size: 31 | approach: LGSH-v1 | time: 0.134s | notes: found factor 894914607625937
[2026-03-24 02:20:41] size: 31 | approach: LGSH-v1 | time: 0.145s | notes: found factor 793089300201113
[2026-03-24 02:20:41] size: 31 | approach: LGSH-v1 | time: 0.128s | notes: found factor 841510451217089
[2026-03-24 02:20:41] size: 32 | approach: LGSH-v1 | time: 0.183s | notes: found factor 7413929065845661
[2026-03-24 02:20:41] size: 32 | approach: LGSH-v1 | time: 0.157s | notes: found factor 8735168619646627
[2026-03-24 02:20:42] size: 32 | approach: LGSH-v1 | time: 0.134s | notes: found factor 8419580092467013
[2026-03-24 02:20:42] size: 32 | approach: LGSH-v1 | time: 0.148s | notes: found factor 8092187942408081
[2026-03-24 02:20:42] size: 32 | approach: LGSH-v1 | time: 0.156s | notes: found factor 9350505294133007
[2026-03-24 02:20:42] size: 33 | approach: LGSH-v1 | time: 0.190s | notes: found factor 4246390191698561
[2026-03-24 02:20:42] size: 33 | approach: LGSH-v1 | time: 0.283s | notes: found factor 8736931255878097
[2026-03-24 02:20:42] size: 33 | approach: LGSH-v1 | time: 0.169s | notes: found factor 48591410038276199
[2026-03-24 02:20:43] size: 33 | approach: LGSH-v1 | time: 0.166s | notes: found factor 97726895700147713
[2026-03-24 02:20:43] size: 33 | approach: LGSH-v1 | time: 0.183s | notes: found factor 7234779656144837
[2026-03-24 02:20:43] size: 34 | approach: LGSH-v1 | time: 0.146s | notes: found factor 82045041604477999
[2026-03-24 02:20:43] size: 34 | approach: LGSH-v1 | time: 0.173s | notes: found factor 25815610339368071
[2026-03-24 02:20:43] size: 34 | approach: LGSH-v1 | time: 0.202s | notes: found factor 88166964892820689
[2026-03-24 02:20:43] size: 41 | approach: LGSH-v1 | time: FAIL | notes: no factor for 79490313721248448169...
